City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,newport,GB,2021-09-13 05:19:12,51.5877,-2.9984,60.17,87,100,6.76
155,urdoma,RU,2021-09-13 05:24:05,61.7533,48.5442,42.67,68,42,3.65
156,camacha,PT,2021-09-13 05:24:05,33.0833,-16.3333,69.53,83,40,18.41
157,brownsville,US,2021-09-13 05:23:50,25.9018,-97.4975,79.92,92,90,4.61
158,yar-sale,RU,2021-09-13 05:24:05,66.8333,70.8333,41.94,93,100,16.02
159,caracollo,PE,2021-09-13 05:24:06,-14.9165,-70.6603,46.45,70,99,3.58
160,nizhniy kuranakh,RU,2021-09-13 05:24:06,58.8353,125.4869,62.98,49,100,7.0
161,nurota,UZ,2021-09-13 05:24:06,40.5614,65.6886,75.29,25,0,15.03
162,kampene,CD,2021-09-13 05:24:07,-3.6,26.6667,69.62,85,10,1.25
163,clyde river,CA,2021-09-13 05:24:07,70.4692,-68.5914,29.19,67,5,5.17
164,fairbanks,US,2021-09-13 05:19:38,64.8378,-147.7164,58.24,52,1,9.22
165,yenagoa,NG,2021-09-13 05:24:07,4.9247,6.2642,74.44,95,89,3.94
166,thunder bay,CA,2021-09-13 05:20:36,48.4001,-89.3168,49.28,93,1,3.44
167,birjand,IR,2021-09-13 05:24:08,32.8663,59.2211,59.47,17,0,9.22
168,avera,US,2021-09-13 05:24:08,33.194,-82.5271,68.72,60,0,2.59
169,arsk,RU,2021-09-13 05:24:08,56.0915,49.8778,53.38,70,64,4.68
170,lahat,ID,2021-09-13 05:24:09,-3.8,103.5333,85.68,70,66,1.57
171,srednekolymsk,RU,2021-09-13 05:24:09,67.45,153.6833,56.53,43,95,11.07
172,san patricio,US,2021-09-13 05:24:09,28.017,-97.5169,82.29,84,100,10.2
173,preobrazheniye,RU,2021-09-13 05:24:10,42.9019,133.9064,63.95,61,94,4.21
174,saldanha,ZA,2021-09-13 05:24:10,-33.0117,17.9442,42.85,63,46,14.41
175,hualmay,PE,2021-09-13 05:24:10,-11.0964,-77.6139,60.62,86,98,9.01
176,richards bay,ZA,2021-09-13 05:24:11,-28.783,32.0377,64.72,77,11,4.74
177,nongan,CN,2021-09-13 05:24:11,44.382,125.1685,68.41,71,90,6.64
178,vila franca do campo,PT,2021-09-13 05:24:11,37.7167,-25.4333,68.41,84,72,18.77
179,tuatapere,NZ,2021-09-13 05:24:12,-46.1333,167.6833,42.82,88,83,12.57
180,haines junction,CA,2021-09-13 05:24:12,60.7522,-137.5108,40.95,81,29,2.3
181,klaksvik,FO,2021-09-13 05:24:12,62.2266,-6.589,52.72,91,100,11.83
182,opuwo,NA,2021-09-13 05:24:13,-18.0607,13.84,61.75,43,0,1.59
183,gat,IL,2021-09-13 05:24:13,31.61,34.7642,81.39,35,0,3.29
184,chitral,PK,2021-09-13 05:24:13,35.8462,71.7858,75.92,38,0,2.62
185,kamogawa,JP,2021-09-13 05:24:14,35.1,140.1,82.45,73,100,15.14
186,bathsheba,BB,2021-09-13 05:24:14,13.2167,-59.5167,80.06,95,20,2.3
187,aksarka,RU,2021-09-13 05:24:14,66.5606,67.7975,37.13,93,100,19.22
188,valdivia,CL,2021-09-13 05:24:15,-39.8142,-73.2459,37.49,98,57,1.86
189,aklavik,CA,2021-09-13 05:24:15,68.2191,-135.0107,47.23,84,100,3.31
190,kloulklubed,PW,2021-09-13 05:24:12,7.0419,134.2556,84.7,86,100,18.41
191,skegness,GB,2021-09-13 05:24:16,53.1436,0.3363,57.49,89,100,6.64
192,svetlogorsk,BY,2021-09-13 05:24:16,52.6333,29.7333,58.66,78,10,5.14
193,jumla,NP,2021-09-13 05:24:16,29.2747,82.1838,68.74,77,84,3.87
194,honiara,SB,2021-09-13 05:24:16,-9.4333,159.95,86.85,64,40,8.55
195,la paz,BO,2021-09-13 05:24:17,-16.5,-68.15,48.18,81,75,8.05
196,coahuayana,MX,2021-09-13 05:24:17,18.7333,-103.6833,78.08,93,75,2.17
197,lewiston,US,2021-09-13 05:24:17,44.1003,-70.2148,67.35,95,1,3.44
198,gorontalo,ID,2021-09-13 05:24:18,0.5412,123.0595,83.88,77,87,3.22
199,sechura,PE,2021-09-13 05:24:18,-5.5569,-80.8222,63.66,85,37,9.84
200,lagoa,PT,2021-09-13 05:24:18,39.05,-27.9833,68.45,78,86,19.57
201,oyama,JP,2021-09-13 05:24:19,36.3,139.8,78.69,56,100,3.47
202,garden city,US,2021-09-13 05:24:19,42.3256,-83.331,74.08,85,90,4.61
203,qianan,CN,2021-09-13 05:24:19,44.9932,124.0581,65.23,72,99,7.23
204,lazaro cardenas,MX,2021-09-13 05:20:29,17.9583,-102.2,78.4,87,97,2.37
205,shiraz,IR,2021-09-13 05:24:20,29.6036,52.5388,78.24,21,0,0.0
206,portland,US,2021-09-13 05:19:28,45.5234,-122.6762,63.18,66,40,1.01
207,chara,RU,2021-09-13 05:24:20,56.9064,118.2631,49.41,83,100,1.54
208,haukipudas,FI,2021-09-13 05:24:20,65.1765,25.3523,50.05,97,100,11.59
209,coihaique,CL,2021-09-13 05:24:21,-45.5752,-72.0662,37.35,81,75,4.61
210,taree,AU,2021-09-13 05:24:21,-31.9,152.4667,65.07,39,75,14.97
211,vila velha,BR,2021-09-13 05:19:28,-20.3297,-40.2925,73.35,83,0,9.22
212,sulangan,PH,2021-09-13 05:24:22,11.1373,123.7228,84.74,70,96,3.85
213,lodja,CD,2021-09-13 05:24:22,-3.4833,23.4333,70.5,80,87,0.87
214,asaba,NG,2021-09-13 05:24:22,6.2006,6.7338,73.58,97,99,2.48
215,dondo,MZ,2021-09-13 05:24:22,-19.6094,34.7431,65.71,75,53,4.56
216,kodiak,US,2021-09-13 05:22:19,57.79,-152.4072,47.68,82,45,23.55
217,aguimes,ES,2021-09-13 05:24:23,27.9054,-15.4461,70.43,86,20,2.3
218,moindou,NC,2021-09-13 05:24:23,-21.6924,165.677,82.35,59,46,7.99
219,hollola,FI,2021-09-13 05:24:24,61.05,25.4333,54.25,94,100,11.1
220,narsaq,GL,2021-09-13 05:24:24,60.9167,-46.05,39.42,50,0,25.37
221,waddan,LY,2021-09-13 05:24:24,29.1614,16.139,74.43,74,0,5.19
222,north bend,US,2021-09-13 05:20:28,43.4065,-124.2243,57.16,91,1,11.5
223,urumqi,CN,2021-09-13 05:24:25,43.801,87.6005,74.35,27,0,4.47
224,vernon,CA,2021-09-13 05:21:15,50.2581,-119.2691,64.76,74,64,1.14
225,nome,US,2021-09-13 05:24:25,64.5011,-165.4064,51.87,67,90,11.5
226,khatanga,RU,2021-09-13 05:24:25,71.9667,102.5,55.11,43,16,11.52
227,karratha,AU,2021-09-13 05:24:26,-20.7377,116.8463,82.36,28,6,10.8
228,westport,US,2021-09-13 05:24:26,41.1415,-73.3579,77.14,83,20,5.01
